person,state,district,vote,name,party
400108,FL,25,Present,"Rep. Mario Diaz-Balart [R, 2003-2010]",Republican
400109,WA,6,Present,"Rep. Norman “Norm” Dicks [D, 1977-2012]",Democrat
400110,MI,15,Present,"Rep. John Dingell [D, 2003-2012]",Democrat
400111,TX,25,Present,"Rep. Lloyd Doggett [D, 2005-2012]",Democrat
400113,CA,4,Present,"Rep. John Doolittle [R, 1993-2008]",Republican
400114,PA,14,Present,"Rep. Michael “Mike” Doyle Jr. [D, 2003-2018]",Democrat
400115,CA,26,Present,"Rep. David Dreier [R, 2003-2012]",Republican
400116,TN,2,Present,"Rep. John “Jimmy” Duncan Jr. [R, 1988-2018]",Republican
400118,TX,17,Not Voting,"Rep. Thomas “Chet” Edwards [D, 2005-2010]",Democrat
400119,MI,3,Present,"Rep. Vernon Ehlers [R, 1993-2010]",Republican
400120,IL,5,Present,"Rep. Rahm Emanuel [D, 2003-2008]",Democrat
400121,MO,8,Present,"Rep. Jo Ann Emerson [R, 1997-2013]",Republican
400122,NY,17,Present,"Rep. Eliot Engel [D, 1993-2012]",Democrat
400123,PA,3,Present,"Rep. Philip “Phil” English [R, 2003-2008]",Republican
400124,CA,14,Present,"Rep. Anna Eshoo [D, 1993-2012]",Democrat
400125,NC,2,Present,"Rep. Bob Etheridge [D, 1997-2010]",Democrat
400126,IL,17,Present,"Rep. Lane Evans [D, 1983-2006]",Democrat
400127,AL,2,Present,"Rep. Terry Everett [R, 1993-2008]",Republican
400129,CA,17,Present,"Rep. Sam Farr [D, 1993-2012]",Democrat
400130,PA,2,Present,"Rep. Chaka Fattah [D, 1995-2016]",Democrat
400131,FL,24,Present,"Rep. Tom Feeney [R, 2003-2008]",Republican
400132,NJ,7,Present,"Rep. Michael “Mike” Ferguson [R, 2001-2008]",Republican
400133,CA,51,Present,"Rep. Bob Filner [D, 2003-2012]",Democrat
400134,AZ,6,Present,"Rep. Jeff Flake [R, 2003-2012]",Republican
400136,FL,16,Present,"Rep. Mark Foley [R, 1995-2006]",Republican
400137,VA,4,Present,"Rep. Randy Forbes [R, 2001-2016]",Republican
400138,TN,9,Present,"Rep. Harold Ford Jr. [D, 1997-2006]",Democrat
400139,NY,13,Not Voting,"Rep. Vito Fossella Jr. [R, 1997-2008]",Republican
400140,MA,4,Present,"Rep. Barney Frank [D, 1981-2012]",Democrat
400141,AZ,2,Present,"Rep. Trent Franks [R, 2003-2012]",Republican
400142,NJ,11,Present,"Rep. Rodney Frelinghuysen [R, 1995-2018]",Republican
400144,CA,24,Present,"Rep. Elton Gallegly [R, 2003-2012]",Republican
400145,NJ,5,Present,"Rep. Scott Garrett [R, 2003-2016]",Republican
400147,PA,6,Present,"Rep. Jim Gerlach [R, 2003-2014]",Republican
400148,NV,2,Present,"Rep. James “Jim” Gibbons [R, 1997-2006]",Republican
400149,MD,1,Present,"Rep. Wayne Gilchrest [R, 1991-2008]",Republican
400150,OH,5,Present,"Rep. Paul Gillmor [R, 1989-2007]",Republican
400151,GA,11,Present,"Rep. Phil Gingrey [R, 2003-2014]",Republican
400152,TX,20,Present,"Rep. Charles “Charlie” Gonzalez [D, 1999-2012]",Democrat
400153,VA,5,Present,"Rep. Virgil Goode Jr. [R, 1997-2008]",Republican
400154,VA,6,Present,"Rep. Bob Goodlatte [R, 1993-2018]",Republican
400155,TN,6,Present,"Rep. Barton “Bart” Gordon [D, 1985-2010]",Democrat
400157,TX,12,Present,"Rep. Kay Granger [R, 1997-2018]",Republican
400158,MO,6,Present,"Rep. Sam Graves [R, 2001-2018]",Republican
400159,WI,8,Present,"Rep. Mark Green [R, 1999-2006]",Republican
400160,TX,29,Present,"Rep. Gene Green [D, 1993-2018]",Democrat
400162,AZ,7,Not Voting,"Rep. Raúl Grijalva [D, 2003-2012]",Democrat
400163,IL,4,Present,"Rep. Luis Gutiérrez [D, 1993-2018]",Democrat
400164,MN,1,Present,"Rep. Gilbert “Gil” Gutknecht [R, 1995-2006]",Republican
400165,TX,4,Present,"Rep. Ralph Hall [R, 1981-2014]",Republican
400166,CA,36,Present,"Rep. Jane Harman [D, 2001-2011]",Democrat
400167,FL,13,Present,"Rep. Katherine Harris [R, 2003-2006]",Republican
400168,PA,4,Present,"Rep. Melissa Hart [R, 2001-2006]",Republican
400169,IL,14,Present,"Rep. Dennis “Denny” Hastert [R, 1987-2007]",Republican
400170,FL,23,Present,"Rep. Alcee Hastings [D, 1993-2012]",Democrat
400171,WA,4,Present,"Rep. Doc Hastings [R, 1995-2014]",Republican
400172,NC,8,Present,"Rep. Robin Hayes [R, 1999-2008]",Republican
400173,AZ,5,Present,"Rep. John “J.D.” Hayworth Jr. [R, 2003-2006]",Republican
400174,CO,5,Present,"Rep. Joel Hefley [R, 1987-2006]",Republican
400175,TX,5,Present,"Rep. Jeb Hensarling [R, 2003-2018]",Republican
400176,CA,2,Present,"Rep. Walter “Wally” Herger [R, 1987-2012]",Republican
400178,NY,22,Not Voting,"Rep. Maurice Hinchey [D, 2003-2012]",Democrat
400179,TX,15,Present,"Rep. Rubén Hinojosa [D, 1997-2016]",Democrat
400180,OH,7,Present,"Rep. David “Dave” Hobson [R, 1991-2008]",Republican
400182,MI,2,Present,"Rep. Peter “Pete” Hoekstra [R, 1993-2010]",Republican
400183,PA,17,Present,"Rep. Tim Holden [D, 2003-2012]",Democrat
400184,NJ,12,Present,"Rep. Rush Holt [D, 1999-2014]",Democrat
400185,CA,15,Present,"Rep. Michael “Mike” Honda [D, 2001-2012]",Democrat
