year;CID;name;party
2004;N00025704;Kevin M Shaffer (D);D
2004;N00026789;David E Sturrock (R);R
2004;N00026833;Frank E Kendrick (R);R
2004;N00026927;Michael W Payton (R);R
2004;N00027055;Angie G Cochran (D);D
2004;N00009609;Mark Steven Coutu (D);D
2004;N00027199;Dennis K Bertrand (R);R
2004;N00027247;Gregory J Hemingway (3);3
2004;N00003133;J Patrick Lyons (I);I
2004;N00026182;Pavel Goberman (R);R
2004;N00026200;Paul Francis Streitz (R);R
2004;N00026294;Gary Mason (R);R
2004;N00026358;David William Franker (D);D
2004;N00026450;Dan Brady (D);D
2004;N00003338;Shawn O'Hara (3);3
2004;N00026790;Emanuel Cleaver (D);D
2004;N00026834;David Avram Sanders (D);D
2004;N00026928;David Rae Lyon (I);I
2004;N00027056;Shanna Phillips (D);D
2004;N00013152;Thomas A Frederick Jr (I);I
2004;N00027200;Basil C Ottley Jr (D);D
2004;N00027248;David Pechulis (3);3
2004;N00006174;Jack Joseph Woehr (L);L
2004;N00026183;Tom Ravenel (R);R
2004;N00026201;Betty Castor (D);D
2004;N00026295;Jack Flynn (D);D
2004;N00026359;Tim Bagwell (D);D
2004;N00026451;Jose U Ortega (R);R
2004;N00001485;Richard J Orloski (D);D
2004;N00026791;Curt Bromm (R);R
2004;N00013089;Mike Campbell (R);R
2004;N00026929;Michael J Panetta (D);D
2004;N00027057;Ron Von Felden (D);D
2004;N00013593;Jack Warner (L);L
2004;N00027201;Larry Drown (D);D
2004;N00027249;Burton Randall Hanson (R);R
2004;N00004172;Erwin J Haas (L);L
2004;N00026152;Steve Stoll (D);D
2004;N00026202;Johnnie B Byrd (R);R
2004;N00026296;Matt Connealy (D);D
2004;N00026360;Mark A Summers (D);D
2004;N00026452;James Lee Feldkamp (R);R
2004;N00025176;Clyde L Garland (L);L
2004;N00026792;Greg Ruehle (R);R
2004;N00026836;Victor Dean Wakley (R);R
2004;N00026930;Robert Godson Whittel (D);D
2004;N00027058;Blair Mathies (D);D
2004;N00013270;Ira Dennis Hawver (L);L
2004;N00027202;Randle Fredrick Eastwood (R);R
2004;N00027250;Peter F Vento (3);3
2004;N00004046;Dick Gach (L);L
2004;N00025139;James E Snyder Jr (R);R
2004;N00002556;Mac Collins (R);R
2004;N00026297;Nancy Thompson (D);D
2004;N00026361;Bob Croddy (R);R
2004;N00026453;Scott Paterno (R);R
2004;N00025163;Dean L Tucker (L);L
2004;N00026793;Dorothea Anne Wolfe (D);D
2004;N00026837;Bob Hidalgo (D);D
2004;N00026931;Marion Thorpe (R);R
2004;N00027059;Benjamin Oliver Shuldiner (D);D
2004;N00013417;John Krymski (I);I
2004;N00027203;Don Bernau (L);L
2004;N00027251;Michael H Johnson (D);D
2004;N00005043;Tamara A Millay (L);L
2004;N00025489;Christopher G Fenner (I);I
2004;N00026204;Jerry Springer (D);D
2004;N00026298;Kevin McAdams (D);D
2004;N00026362;Margaret H Kannensohn (D);D
2004;N00026454;Arthur Barton (R);R
2004;N00012659;Frank L Jones III (3);3
2004;N00026794;Jeremy M Brown (3);3
2004;N00026838;Barry Campbell (L);L
2004;N00026932;Catheren M Woolard (D);D
2004;N00027060;Brian M Higgins (D);D
2004;N00013639;Lewis Stock (L);L
2004;N00027204;Gerald H Boyle (R);R
2004;N00027252;Matthew Angus Williams (I);I
2004;N00000680;Herbert H Shaw (3);3
2004;N00026184;James F Stewart (R);R
2004;N00026205;Monte Earl Johnson (D);D
2004;N00026299;Edward F Herman (R);R
2004;N00026363;David G Boschert (R);R
2004;N00026455;Thomas Dale Harvey (R);R
2004;N00025160;Brent Sullivan (L);L
2004;N00026795;David Jerome Bennett (D);D
2004;N00026839;Milack Talia (I);I
2004;N00026933;Connie Jean Stokes (D);D
2004;N00027061;Timothy Lane Lancaster (3);3
2004;N00027099;Arif Khan (L);L
2004;N00027205;Colin Hudson (3);3
2004;N00027253;Michael Wildes (D);D
2004;N00000804;Austin S Lett (L);L
2004;N00024758;Vic Roberts (D);D
2004;N00026206;Imrana Muhammod Jr (I);I
2004;N00026300;Edward S Jerse (D);D
2004;N00026364;John R McKinnis II (R);R
2004;N00026456;George Fastuca (R);R
2004;N00025187;Gary R Page (D);D
2004;N00026796;Robert M Cornicelli (R);R
2004;N00026840;Charles J Melancon (D);D
2004;N00026934;Lin Whitworth (D);D
2004;N00027062;Francina J Cartonia (3);3
2004;N00027100;Wevley William Shea (R);R
2004;N00027206;Kevin Dale Chiasson (R);R
2004;N00027254;William Bogardt (3);3
2004;N00000710;Dick Hester (3);3
2004;N00026112;Lanakila Washington (D);D
2004;N00026207;Mark Strothers McBride (R);R
2004;N00026301;Tami L Mars (R);R
2004;N00026365;Bradley Jewitt (R);R
2004;N00026457;Ted Poe (R);R
2004;N00025105;Christopher J Claytor (L);L
2004;N00000962;Adam Clayton Powell IV (D);D
2004;N00026841;Sharon Marie Renier (D);D
2004;N00026935;Tom Schedler (R);R
2004;N00027063;Samara Barend (D);D
2004;N00027101;Daniel Denardo (3);3
2004;N00027138;Kimon Kotos (D);D
2004;N00027255;Curtis Brooks (D);D
2004;N00008745;C Faye Walters (3);3
2004;N00002442;Charlie Condon (R);R
2004;N00026208;Reed Davis (R);R
2004;N00026302;Greg Philips (D);D
2004;N00026366;Rodney Dwight Fox Sr (D);D
2004;N00026458;John Kelley (R);R
2004;N00025227;Clark Simmons (L);L
2004;N00026798;Andrew C Gin (D);D
2004;N00026842;Matthew Leighton Ferguson (D);D
2004;N00026936;Arthur Louis Schwertz (R);R
2004;N00027064;William Wortman (R);R
2004;N00027102;Jerry Sanders (3);3
2004;N00027208;Deborah Watts (D);D
2004;N00027256;Aniello V Grimaldi (D);D
2004;N00004198;John Wesley Loosemore (L);L
2004;N00001519;James C Greenwood (R);R
2004;N00026303;Joseph M Torsella (D);D
2004;N00026367;Scott Rolle (R);R
2004;N00026459;Benjamin Earl Streusand (R);R
2004;N00012796;Mike Garza (R);R
2004;N00026799;Lewis Hopkins Jr (D);D
2004;N00026843;John Arden Magee (D);D
2004;N00026937;Reggie P Dupre Jr (D);D
2004;N00027065;Michael Ray Ellisor (D);D
2004;N00027103;Randall Edward Wyrick (R);R
2004;N00027209;Jeremy Furbish (L);L
2004;N00027257;Dennis Colman (D);D
2004;N00004085;Clint Foster (L);L
